"TIME","GEO","INDIC","S_ADJ","Value","Flag and Footnotes"
"2000M02","Latvia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data","-20.9",""
"2000M02","Latvia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M02","Latvia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M02","Lithuania","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-61.4",""
"2000M02","Lithuania","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-55.9",""
"2000M02","Lithuania","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M02","Lithuania","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","97.7",""
"2000M02","Lithuania","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-12.5",""
"2000M02","Lithuania","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-15.7",""
"2000M02","Lithuania","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-12.1",""
"2000M02","Lithuania","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","-12.4",""
"2000M02","Lithuania","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M02","Lithuania","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M02","Lithuania","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M02","Lithuania","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M03","Estonia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-38.2",""
"2000M03","Estonia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-32.3",""
"2000M03","Estonia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M03","Estonia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","91.1",""
"2000M03","Estonia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-9.7",""
"2000M03","Estonia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-3.8",""
"2000M03","Estonia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-4.1",""
"2000M03","Estonia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","0.2",""
"2000M03","Estonia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-37.1",""
"2000M03","Estonia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data","-37.2",""
"2000M03","Estonia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M03","Estonia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M03","Latvia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-44.4",""
"2000M03","Latvia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-36.9",""
"2000M03","Latvia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M03","Latvia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","97.5",""
"2000M03","Latvia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-14.7",""
"2000M03","Latvia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-13.1",""
"2000M03","Latvia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","4.4",""
"2000M03","Latvia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","2.1",""
"2000M03","Latvia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-19.8",""
"2000M03","Latvia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data","-20.9",""
"2000M03","Latvia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M03","Latvia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M03","Lithuania","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-61.4",""
"2000M03","Lithuania","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-55.9",""
"2000M03","Lithuania","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M03","Lithuania","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","96.3",""
"2000M03","Lithuania","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-10.9",""
"2000M03","Lithuania","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-17.2",""
"2000M03","Lithuania","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-12.1",""
"2000M03","Lithuania","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","-12.4",""
"2000M03","Lithuania","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M03","Lithuania","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M03","Lithuania","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M03","Lithuania","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M04","Estonia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-8.7",""
"2000M04","Estonia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-11.8",""
"2000M04","Estonia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M04","Estonia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","94.1",""
"2000M04","Estonia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","6.3",""
"2000M04","Estonia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","0.4",""
"2000M04","Estonia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-1.2",""
"2000M04","Estonia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","-2.0",""
"2000M04","Estonia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-33.2",""
"2000M04","Estonia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data","-33.7",""
"2000M04","Estonia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M04","Estonia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M04","Latvia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-25.5",""
"2000M04","Latvia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-35.3",""
"2000M04","Latvia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M04","Latvia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","105.3",""
"2000M04","Latvia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-5.4",""
"2000M04","Latvia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-9.8",""
"2000M04","Latvia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","9.4",""
"2000M04","Latvia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","7.5",""
"2000M04","Latvia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M04","Latvia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M04","Latvia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M04","Latvia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M04","Lithuania","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-61.4",""
"2000M04","Lithuania","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-69.9",""
"2000M04","Lithuania","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M04","Lithuania","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","94.7",""
"2000M04","Lithuania","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-14.5",""
"2000M04","Lithuania","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-17.3",""
"2000M04","Lithuania","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-15.7",""
"2000M04","Lithuania","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","-16.3",""
"2000M04","Lithuania","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M04","Lithuania","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M04","Lithuania","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M04","Lithuania","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M05","Estonia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-8.7",""
"2000M05","Estonia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-10.8",""
"2000M05","Estonia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M05","Estonia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","94.1",""
"2000M05","Estonia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","6.3",""
"2000M05","Estonia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","0.4",""
"2000M05","Estonia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-1.2",""
"2000M05","Estonia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","-1.8",""
"2000M05","Estonia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-33.2",""
"2000M05","Estonia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data","-33.8",""
"2000M05","Estonia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M05","Estonia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M05","Latvia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-25.5",""
"2000M05","Latvia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-35.3",""
"2000M05","Latvia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
