"TIME","GEO","INDIC","S_ADJ","UNIT","Value","Flag and Footnotes"
"2000M02","Latvia","Business activity expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","9.7",""
"2000M02","Latvia","Employment expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-2.0",""
"2000M02","Latvia","Employment expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-3.9",""
"2000M02","Lithuania","Business activity (sales) development over the past 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-34.0",""
"2000M02","Lithuania","Business activity (sales) development over the past 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-36.1",""
"2000M02","Lithuania","Volume of stocks currently hold","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-13.0",""
"2000M02","Lithuania","Volume of stocks currently hold","Seasonally adjusted data, not calendar adjusted data","Balance","-15.0",""
"2000M02","Lithuania","Expectations of the number of orders placed with suppliers over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-13.0",""
"2000M02","Lithuania","Expectations of the number of orders placed with suppliers over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-7.1",""
"2000M02","Lithuania","Business activity expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-15.2",""
"2000M02","Lithuania","Business activity expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-16.0",""
"2000M02","Lithuania","Employment expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-35.8",""
"2000M02","Lithuania","Employment expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-35.5",""
"2000M03","Estonia","Business activity (sales) development over the past 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-8.0",""
"2000M03","Estonia","Business activity (sales) development over the past 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-10.3",""
"2000M03","Estonia","Volume of stocks currently hold","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","15.8",""
"2000M03","Estonia","Volume of stocks currently hold","Seasonally adjusted data, not calendar adjusted data","Balance","13.3",""
"2000M03","Estonia","Expectations of the number of orders placed with suppliers over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-34.2",""
"2000M03","Estonia","Expectations of the number of orders placed with suppliers over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-2.3",""
"2000M03","Estonia","Business activity expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","11.4",""
"2000M03","Estonia","Business activity expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","24.3",""
"2000M03","Estonia","Employment expectations over the next 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","-15.8",""
"2000M03","Estonia","Employment expectations over the next 3 months","Seasonally adjusted data, not calendar adjusted data","Balance","-12.9",""
"2000M03","Latvia","Business activity (sales) development over the past 3 months","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Balance","3.6",""
