GEO/TIME,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07
Estonia,40.8,40.8,41.2,42.2,42.3,44.2,42.8,44.5,44.9,45.1,46,47.7,48.2,48.4,49.1,48.4,49,51.1,51.6,50.4,50.3,51.6,52.1,51,51.6,53.5,53.3,53.6,54.9,53.7,55.2,55.1,57.4,57.1,56.5,54.3,56.8,58.9,58.8,59.1,59.3,58.7,59.6,61.7,62.9,64.5,64.6,63.2,63.2,63.6,65.5,68.3,68.7,68.2,70.2,69.7,70.2,72,71.9,73.4,73.2,75.6,76.1,76.1,78.6,78,80.3,79.7,82.2,81.4,82.8,88.5,85.2,82.1,86.9,88.8,91.1,93.7,91.7,93.2,94.2,95.5,95.9,99.9,96.6,101.4,103.2,105.2,105,108.7,103.9,107.2,108,108.2,107.5,107.3,110.8,112.9,110.1,112,109.1,110.1,113.1,107,112.1,102.8,93.9,88.6,84.1,81.9,78.4,76.4,76.6,77.3,77.9,81.6,80.3,79.5,80.5,81.6,81.3,84.5,86.3,89.3,95.1,95.5,100,100.9,110.2,116.1,116.2,122.1,123.9,123.6,128.5,130.1,129.2,124.4,136,135.4,121.6,123.3,122.2,127.5,129.9,126.7,126.5,127.9,128.1,133.6,128.7,132.2,137.3,130,137.1,132.7,144.5,142.1,138.9,137.4,141.9,141.6,140.5,138.3,135.7,139.3,138.9,132.4,136.7,139.9,142.1,143.4,141.3,141.6,148.9,145.2,149.8,148.5,150.9,142.4,144.1,143.1,145.5,142.7,139.4,139.7,138.7,139.9,137.7,140.9,138.5,140.2,136.6,140.5,141.1,142.1,142.9,142,137
Latvia,37.7,39.5,38.5,38.3,39,41.2,38.8,40.2,40.7,41.1,41.4,45.2,44.3,45.1,46.3,44,47.4,45.3,47.5,47,46.7,47.9,46.9,47,49.6,47.5,48.7,51.2,50.8,49.8,48.9,53.1,52.7,52.7,56.6,54.4,54.3,55,55,57.5,56.9,59.6,61.4,59.3,62,61.4,62.7,63.6,64.6,67.7,67.6,70.6,70.2,69.4,74.1,71.4,72.6,72.4,75.2,77.6,76.6,78.6,81.4,81.2,80.5,85.2,87.7,85,85.6,90.2,93.4,94.5,89.8,91.6,93,96.6,97.5,100.5,101.5,104.4,106.1,108.9,106.7,114,114.3,112.9,121.1,115.6,123.7,118,121.3,122.9,120.5,122.2,123.2,126.9,129.6,133.9,127.6,129,123.6,126.6,123.3,127,127.2,117.5,113.3,110.8,93.6,92.9,89.6,90.7,89.3,90.4,85.3,86.5,88.9,89.1,89.7,91.6,86.5,89.2,90.8,96.3,97.6,98.4,105.2,105.5,107.8,110.2,106.1,106.4,109.2,108.6,111.5,113.3,115.5,118.9,118.8,119,120.6,121.5,123.9,117.5,127,123.8,127.1,126.5,131,126.9,129.8,135.6,134.3,129.8,129.6,133.3,134.3,127.5,129.2,122.1,128.7,132.8,132.6,135.3,132.5,134.6,139.1,135.3,131.1,136,132.6,134,129.3,129.6,130.5,127.4,131.8,130.7,130,129.2,129.8,126.4,131.7,135.6,129.5,130.7,131,127.7,128,129.5,129.6,127.8,128.4,133.3,130.8,130.4,131.8,128.6,127.5
Lithuania,38.5,38.3,42,37.8,36.5,39.4,40.3,41.2,44.3,39,42.5,44.3,45.2,43.5,40.9,40.3,45.9,43.1,41.8,41,41.4,43.6,41.2,40.7,39.7,39.7,45.4,43.7,45.6,44.4,41.4,43.3,44.9,44.6,45,47.2,47.9,53.9,47.2,42.8,43.4,44.2,47.8,51.9,49.5,52.2,54,53.4,50.9,55.2,53.6,57.1,52.5,55.9,56.8,58.8,61.4,66.7,61.7,64.8,69.3,65.1,71.5,72.1,73.3,70.4,70.9,76.3,84.6,78,84.7,87.7,87.3,85.7,90.3,88.6,94.7,90.1,87.5,84.3,89.3,82.9,84.1,84.7,86.4,85.5,89.7,94.6,95.5,99.4,102.6,101.5,96.5,93.9,97.4,107.8,112.2,117.2,121,130.5,126.3,132.2,131.6,126.7,123.2,105.5,99.2,88.3,85.4,83.9,76.9,78.1,81.1,85.7,84.4,85.5,81.5,80,83.1,84.3,83.3,88.9,86.4,95,96.5,101.1,101.4,104.2,100.8,109.7,111.3,117.7,126.5,123.9,117.1,118,127.4,126.7,127.1,127,127.2,126.4,128,129.6,138.2,128.7,133.6,136.4,100.9,126.9,132.6,146.5,145.2,145.3,143.5,141.4,148.4,147.5,148.1,136.6,127.9,134.1,134.5,140.9,139.4,140.2,136.9,133.7,130.6,136.5,127.5,139.3,137.2,129.9,134.8,129.6,134.9,138,138.7,124.4,120.1,132,131.2,132.6,137.2,136.1,133.6,127,122.4,133,134.3,123,122.2,125.9,122.8,122.2,128.2,125.6,:
