Date,Open,High,Low,Close,Volume,Adjusted Close
2016-10-31,2164.189941,2165.860107,2144.850098,2153.73999,3619890000.0,2153.73999
2016-09-30,2156.51001,2175.300049,2156.51001,2168.27002,4173340000.0,2168.27002
2016-08-31,2173.560059,2173.790039,2161.350098,2170.949951,3766390000.0,2170.949951
2016-07-31,2168.830078,2177.090088,2163.48999,2173.600098,4038840000.0,2173.600098
2016-06-30,2073.169922,2098.939941,2070.0,2098.860107,4622820000.0,2098.860107
2016-05-31,2100.129883,2103.47998,2088.659912,2096.949951,4514410000.0,2096.949951
2016-04-30,2071.820068,2073.850098,2052.280029,2065.300049,4704720000.0,2065.300049
2016-03-31,2063.77002,2067.919922,2057.459961,2059.73999,3715280000.0,2059.73999
2016-02-29,1947.130005,1958.27002,1931.810059,1932.22998,4588180000.0,1932.22998
2016-01-31,1894.0,1940.23999,1894.0,1940.23999,5497570000.0,1940.23999
2015-12-31,2060.590088,2062.540039,2043.619995,2043.939941,2655330000.0,2043.939941
2015-11-30,2090.949951,2093.810059,2080.409912,2080.409912,4245030000.0,2080.409912
2015-10-31,2090.0,2094.320068,2079.340088,2079.360107,4256200000.0,2079.360107
2015-09-30,1887.140015,1920.530029,1887.140015,1920.030029,4525070000.0,1920.030029
2015-08-31,1986.72998,1986.72998,1965.97998,1972.180054,3915100000.0,1972.180054
2015-07-31,2111.600098,2114.23999,2102.070068,2103.840088,3681340000.0,2103.840088
2015-06-30,2061.189941,2074.280029,2056.320068,2063.110107,4078540000.0,2063.110107
2015-05-31,2120.659912,2120.659912,2104.889893,2107.389893,3927390000.0,2107.389893
2015-04-30,2105.52002,2105.52002,2077.590088,2085.51001,4509680000.0,2085.51001
2015-03-31,2084.050049,2084.050049,2067.040039,2067.889893,3376550000.0,2067.889893
2015-02-28,2110.879883,2112.73999,2103.75,2104.5,3547380000.0,2104.5
2015-01-31,2019.349976,2023.319946,1993.380005,1994.98999,4538650000.0,1994.98999
2014-12-31,2082.110107,2085.580078,2057.939941,2058.899902,2606070000.0,2058.899902
2014-11-30,2074.780029,2075.76001,2065.060059,2067.560059,2504640000.0,2067.560059
2014-10-31,2001.199951,2018.189941,2001.199951,2018.050049,4292290000.0,2018.050049
2014-09-30,1978.209961,1985.170044,1968.959961,1972.290039,3951100000.0,1972.290039
2014-08-31,1998.449951,2003.380005,1994.650024,2003.369995,2259130000.0,2003.369995
2014-07-31,1965.140015,1965.140015,1930.670044,1930.670044,4193000000.0,1930.670044
2014-06-30,1960.790039,1964.23999,1958.219971,1960.22998,3037350000.0,1960.22998
2014-05-31,1920.329956,1924.030029,1916.640015,1923.569946,3263490000.0,1923.569946
2014-04-30,1877.099976,1885.199951,1872.689941,1883.949951,3779230000.0,1883.949951
2014-03-31,1859.160034,1875.180054,1859.160034,1872.339966,3274300000.0,1872.339966
2014-02-28,1855.119995,1867.920044,1847.670044,1859.449951,3917450000.0,1859.449951
2014-01-31,1790.880005,1793.880005,1772.26001,1782.589966,4059690000.0,1782.589966
2013-12-31,1842.609985,1849.439941,1842.410034,1848.359985,2312840000.0,1848.359985
2013-11-30,1808.689941,1813.550049,1803.97998,1805.810059,1598300000.0,1805.810059
2013-10-31,1763.23999,1768.530029,1755.719971,1756.540039,3826530000.0,1756.540039
2013-09-30,1687.26001,1687.26001,1674.98999,1681.550049,3308630000.0,1681.550049
2013-08-31,1638.890015,1640.079956,1628.050049,1632.969971,2734300000.0,1632.969971
2013-07-31,1687.76001,1698.430054,1684.939941,1685.72998,3847390000.0,1685.72998
2013-06-30,1611.119995,1615.939941,1601.060059,1606.280029,4977190000.0,1606.280029
2013-05-31,1652.130005,1658.98999,1630.73999,1630.73999,4099600000.0,1630.73999
2013-04-30,1593.579956,1597.569946,1586.5,1597.569946,3745070000.0,1597.569946
2013-03-31,1562.859985,1570.280029,1561.079956,1569.189941,3304440000.0,1569.189941
2013-02-28,1515.98999,1525.339966,1514.459961,1514.680054,3912320000.0,1514.680054
2013-01-31,1501.959961,1504.189941,1496.76001,1498.109985,3999880000.0,1498.109985
2012-12-31,1402.430054,1426.73999,1398.109985,1426.189941,3204330000.0,1426.189941
2012-11-30,1415.949951,1418.859985,1411.630005,1416.180054,3966000000.0,1416.180054
2012-10-31,1410.98999,1418.76001,1405.949951,1412.160034,3577110000.0,1412.160034
2012-09-30,1447.130005,1447.130005,1435.599976,1440.670044,3509230000.0,1440.670044
2012-08-31,1400.069946,1413.089966,1398.959961,1406.579956,2938250000.0,1406.579956
2012-07-31,1385.27002,1387.160034,1379.170044,1379.319946,3821570000.0,1379.319946
2012-06-30,1330.119995,1362.170044,1330.119995,1362.160034,4590480000.0,1362.160034
2012-05-31,1313.089966,1319.73999,1298.900024,1310.329956,4557620000.0,1310.329956
2012-04-30,1403.26001,1403.26001,1394.0,1397.910034,3574010000.0,1397.910034
2012-03-31,1403.310059,1410.890015,1401.420044,1408.469971,3676890000.0,1408.469971
2012-02-29,1372.199951,1378.040039,1363.810059,1365.680054,4482370000.0,1365.680054
2012-01-31,1313.530029,1321.410034,1306.689941,1312.410034,4235550000.0,1312.410034
2011-12-31,1262.819946,1264.119995,1257.459961,1257.599976,2271850000.0,1257.599976
2011-11-30,1196.719971,1247.109985,1196.719971,1246.959961,5801910000.0,1246.959961
2011-10-31,1284.959961,1284.959961,1253.160034,1253.300049,4310210000.0,1253.300049
2011-09-30,1159.930054,1159.930054,1131.339966,1131.420044,4416790000.0,1131.420044
2011-08-31,1213.0,1230.709961,1209.349976,1218.890015,5267840000.0,1218.890015
2011-07-31,1300.119995,1304.160034,1282.859985,1292.280029,5061190000.0,1292.280029
2011-06-30,1307.640015,1321.969971,1307.640015,1320.640015,4200500000.0,1320.640015
2011-05-31,1331.099976,1345.199951,1331.099976,1345.199951,4696240000.0,1345.199951
2011-04-30,1360.140015,1364.560059,1358.689941,1363.609985,3479070000.0,1363.609985
2011-03-31,1327.439941,1329.77002,1325.030029,1325.829956,3566270000.0,1325.829956
2011-02-28,1321.609985,1329.380005,1320.550049,1327.219971,1252850000.0,1327.219971
2011-01-31,1276.5,1287.170044,1276.5,1286.119995,4167160000.0,1286.119995
2010-12-31,1256.76001,1259.339966,1254.189941,1257.640015,1799770000.0,1257.640015
2010-11-30,1182.959961,1187.400024,1174.140015,1180.550049,4284700000.0,1180.550049
2010-10-31,1183.869995,1185.459961,1179.699951,1183.26001,3537880000.0,1183.26001
2010-09-30,1145.969971,1157.160034,1136.079956,1141.199951,4284160000.0,1141.199951
2010-08-31,1046.880005,1055.140015,1040.880005,1049.329956,4038770000.0,1049.329956
2010-07-31,1098.439941,1106.439941,1088.01001,1101.599976,4006450000.0,1101.599976
2010-06-30,1040.560059,1048.079956,1028.329956,1030.709961,5067080000.0,1030.709961
2010-05-31,1102.589966,1102.589966,1084.780029,1089.410034,4871210000.0,1089.410034
2010-04-30,1206.77002,1207.98999,1186.319946,1186.689941,6048260000.0,1186.689941
2010-03-31,1171.75,1174.560059,1165.77002,1169.430054,4484340000.0,1169.430054
2010-02-28,1103.099976,1107.23999,1097.560059,1104.48999,3945190000.0,1104.48999
2010-01-31,1087.609985,1096.449951,1071.589966,1073.869995,5412850000.0,1073.869995
2009-12-31,1126.599976,1127.640015,1114.810059,1115.099976,2076990000.0,1115.099976
2009-11-30,1091.069946,1097.23999,1086.25,1095.630005,3895520000.0,1095.630005
2009-10-31,1065.410034,1065.410034,1033.380005,1036.189941,6512420000.0,1036.189941
2009-09-30,1061.02002,1063.400024,1046.469971,1057.079956,5998860000.0,1057.079956
2009-08-31,1025.209961,1025.209961,1014.619995,1020.619995,5004560000.0,1020.619995
2009-07-31,986.799988,993.179993,982.849976,987.47998,5139070000.0,987.47998
2009-06-30,927.150024,930.01001,912.859985,919.320007,4627570000.0,919.320007
2009-05-31,907.02002,920.02002,903.559998,919.140015,6050420000.0,919.140015
2009-04-30,876.590027,888.700012,868.51001,872.809998,6862540000.0,872.809998
2009-03-31,790.880005,810.47998,790.880005,797.869995,6089100000.0,797.869995
