GEO/TIME,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08
Estonia,3,2.9,2.9,2.9,2.9,2.9,3,3.2,3.4,3.6,3.8,3.9,4.1,4.4,4.6,4.9,5.2,5.5,5.7,5.8,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.1,4.9,4.7,4.5,4.2,3.9,3.8,3.7,3.6,3.4,3.3,3.1,2.8,2.5,2.2,2,1.9,1.8,1.7,1.5,1.4,1.2,1.1,1,1,1.3,1.6,1.8,2.1,2.2,2.5,2.7,3,3.3,3.7,4,4.3,4.2,4.1,4.1,4.1,4.2,4.2,4.2,4.1,4.2,4.2,4.1,4.1,4.2,4.3,4.4,4.4,4.3,4.3,4.3,4.4,4.5,4.5,4.6,4.7,4.8,5,5.1,5.2,5.6,6,6.4,6.7,7.3,7.8,8.3,8.8,9.3,9.7,10.1,10.5,10.8,10.9,10.8,10.6,10,9.4,8.6,7.7,6.8,5.8,4.8,3.8,2.8,1.8,1,0.2,-0.3,-0.6,-0.7,-0.6,-0.4,0,0.2,0.5,1,1.5,2.1,2.7,3.3,3.7,4.1,4.3,4.5,4.7,4.9,5.1,5.2,5.2,5.2,5.1,5,5,4.9,4.8,4.7,4.7,4.6,4.5,4.3,4.3,4.3,4.2,4.1,4.1,4,4,3.9,3.9,3.9,3.8,3.7,3.5,3.4,3.2,3.1,2.8,2.6,2.3,2.1,1.8,1.5,1.1,0.9,0.8,0.6,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.3
Latvia,2.2,2.3,2.4,2.6,2.7,2.8,2.9,2.9,2.9,2.9,2.7,2.6,2.5,2.3,2.1,1.9,1.9,2,2,2,2.2,2.3,2.4,2.5,2.7,2.9,3.1,3.2,3.1,2.9,2.8,2.6,2.4,2.2,2.1,2,1.8,1.7,1.6,1.6,1.6,1.9,2.1,2.3,2.5,2.6,2.8,2.9,3.1,3.3,3.5,3.8,4.1,4.3,4.5,4.9,5.3,5.6,5.9,6.2,6.4,6.6,6.8,6.9,7,7,7,6.8,6.8,6.9,6.9,6.9,7,7,7,6.9,6.9,6.9,7,7,6.9,6.7,6.6,6.6,6.5,6.6,6.7,7,7,7.2,7.5,7.7,8.2,8.9,9.5,10.1,10.8,11.6,12.3,13,13.8,14.5,15.1,15.5,15.8,15.8,15.6,15.3,14.7,14.1,13.4,12.4,11.2,10,8.8,7.7,6.5,5.3,4.2,3.3,2.2,1.1,0.1,-0.6,-1.2,-1.6,-1.8,-2,-1.9,-1.8,-1.5,-1.2,-0.7,0,0.7,1.3,1.9,2.4,2.9,3.3,3.6,3.9,4.1,4.2,4.2,4.2,4.1,4,3.7,3.5,3.3,3.1,2.9,2.7,2.5,2.3,2.1,1.8,1.6,1.3,1.1,0.9,0.8,0.7,0.5,0.3,0.2,0,0,0,0,0.1,0.2,0.2,0.3,0.3,0.5,0.5,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0,-0.2,-0.3,-0.3,-0.3
Lithuania,1.3,1.1,1,0.9,0.9,0.8,0.9,0.9,0.8,0.9,1,1.1,1,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.4,1.5,1.5,1.5,1.8,2.1,2.1,2.2,2,1.8,1.7,1.4,1.1,0.8,0.6,0.3,-0.1,-0.5,-0.7,-0.9,-1,-1,-1.1,-1.1,-1,-1,-1,-1.1,-1,-1,-1,-0.9,-0.8,-0.7,-0.5,-0.2,0.1,0.5,0.8,1.2,1.5,1.9,2.2,2.5,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.9,3,3.2,3.4,3.5,3.5,3.6,3.8,3.8,3.9,4,4.2,4.3,4.4,4.4,4.6,4.9,5.2,5.5,5.8,6.3,6.9,7.4,8,8.6,9.3,9.9,10.4,10.8,11,11.1,11.1,11,10.8,10.5,10,9.3,8.6,7.8,6.9,6.2,5.4,4.8,4.2,3.4,2.6,2,1.5,1.1,0.9,0.8,0.8,0.8,0.9,1,1.2,1.5,1.8,2.1,2.5,2.8,3.2,3.4,3.6,3.8,4,4.1,4.1,4.2,4.2,4.2,4.1,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3,2.8,2.7,2.6,2.5,2.3,2,1.8,1.6,1.4,1.2,1,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.1,0,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.6,-0.7,-0.7,-0.5,-0.3,-0.2,-0.1,0,0,0,0.1
